,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification Group,Previous qualification (grade),Nacionality,Nationality Group,Mother's qualification,Mother's qualification Group,Father's qualification,Father's qualification Group,Mother's occupation,Mother's occupation Group,Father's occupation,Father's occupation Group,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Curricular units 1st sem (without evaluations),0.034710608176647235,0.0458277252325036,-0.03169885286107031,0.03451372905592148,0.045629765150007065,0.00288747775513904,-0.0474480193149693,-0.0039257179604588735,0.009145023444750993,0.05141169227371914,0.00318336389939569,0.0028730532533142172,-0.017333249881232613,-0.01473312158839249,0.014218313282067676,0.007527929657346418,4.293996238130989e-05,-0.027666477861756335,0.009032613174677627,-0.02167082298962425,-0.012324210665041767,0.001812011377664961,-0.0497750580117851,-0.006301740434462006,-0.057769520100782845,0.05746978072869072,0.031221837162680108,0.11626205372108567,0.1293368788623711,0.24180046898851143,-0.013359722071233832,-0.07166049584236359,1.0,0.11735929392542925,0.10992421076576149,0.14468296726338867,-0.013069885058411536,-0.06148225817809441,0.5832610728532449,-0.04514428362256674,-0.052534250737915865,-0.14467320144350837
Curricular units 2nd sem (credited),0.06283101531850402,0.2384454568367775,-0.12581538359243863,-0.08981670765419743,-0.11195279895468567,0.1430310918061021,-0.22458578426391598,-0.018488648622672306,-0.007278102618135318,0.010434937088920676,0.04277079304545037,0.022626189282561295,0.042666472014759683,0.020136805484563584,0.0007526799685285006,0.03051689308399292,-0.011024962164252259,0.02518617034384021,0.04022486879633586,-0.09173776373661373,-0.021671138116126303,0.025413737815048784,0.014203655723727615,0.018737359324715423,-0.07648017707076689,0.20756067571964962,0.002572947315210533,0.9448110366582713,0.7537467053534808,0.5221865341498277,0.607661190432814,0.11393731377810562,0.11735929392542925,1.0,0.6762578285189875,0.4309777595060257,0.5190810533124682,0.12976991942601943,0.07014834324370788,0.010580281224292809,0.014489914727051094,-0.0244911120424026
Curricular units 2nd sem (enrolled),0.03902605261691445,0.13004609437319067,0.028878257685911353,0.40153948277423795,0.0003713660797386305,0.056178669477968735,-0.12123036968703364,-0.0316491602334601,-0.02011312348413203,-0.002261531270809862,0.03514966026297595,0.029319875727900232,0.02438048889175444,0.022153784381852035,-0.006511650001032571,0.01018861462302857,-0.014097758759770906,0.020347952021887893,-0.04187802229635767,-0.041823317303661234,-0.02877664039184073,-0.029435821623636334,0.08591757145594628,-0.12422704219275348,0.026415902642224976,0.08591396850995932,-0.013576877323675813,0.6448259027030505,0.942626693015919,0.6118417395322454,0.7337718828670937,0.406166667068421,0.10992421076576149,0.6762578285189875,1.0,0.6048210804385719,0.7032580730157241,0.3951348923833787,0.067697475948765,0.06443648009568792,0.01684415276008763,-0.007592443428285163
Curricular units 2nd sem (evaluations),0.02278437513773313,0.16787206649230685,-0.05508861133085124,0.27879703893556085,0.014609920230203877,0.11484995797509416,-0.08232688993246086,-0.06135531294287914,-0.0257205528590908,-0.0013218007713869586,0.021033063206643735,0.0021315158710586975,0.009513771466876228,-0.004484690796465929,0.0006328703624197784,-0.0065728088924577694,-0.004087272771263366,-0.022899206580028236,-0.057131766911090086,-0.03883872687538028,-0.010850561156331361,0.02420096754835106,0.06348196970069242,-0.0417890109392284,-0.021409589927563304,0.05628632810996371,-0.004398915771505586,0.4278450802088304,0.5995667041335415,0.7788631362482398,0.5399343455592992,0.4872356143470066,0.14468296726338867,0.4309777595060257,0.6048210804385719,1.0,0.46353547718813454,0.4533940329352717,0.14487739683594514,0.0458078898299654,-0.012642500035323485,-0.004853562042810185
Curricular units 2nd sem (approved),-0.04373857172210002,-0.07152591533786491,0.07179313285936866,0.1980315958934514,0.03402170026593678,-0.008631778569250362,-0.07386046880093709,0.05026255427693543,-0.017879715999567117,-0.003293449033781659,-0.014858437284679187,-0.026093976387897524,0.005284676249671045,-0.0026454069729485007,-0.03186090186807733,-0.031127143399792157,-0.03041076038167236,-0.006920067647417102,0.07665935848713488,0.06369769533893962,-0.01631533974343896,-0.14697727522564366,0.2919206345230658,-0.2242661443991583,0.20270421570556482,-0.11205177787810326,-0.010564930398537078,0.4904778893550171,0.6733405210551701,0.442265251614672,0.9040021013038965,0.6733349328338567,-0.013069885058411536,0.5190810533124682,0.7032580730157241,0.46353547718813454,1.0,0.7608041759643297,-0.06156671384674661,0.048805041309296755,-0.024566251903387692,0.02242745143064256
Curricular units 2nd sem (grade),-0.07150558342514239,-0.11542406975005273,0.05551666106383311,0.3487284947219522,0.05049325259338546,0.0009418815374891838,-0.03163983992431497,0.053238974148829984,-0.008497102925080813,-0.002064790054865563,-0.03117484091971626,-0.04909473007793322,-0.008083036191488634,-0.014134420467915134,-0.02072447425511463,-0.0543624595387064,-0.01642374846278186,-0.029186998253272263,0.07440152995564094,0.06908730724184545,-0.012760764871675594,-0.1394238420602217,0.296479536666114,-0.19913331872218232,0.18122723549830988,-0.17341895553989406,0.0014604004467740062,0.13297056285065728,0.36195891422191623,0.3550358900228542,0.685560189671405,0.8371697405964219,-0.06148225817809441,0.12976991942601943,0.3951348923833787,0.4533940329352717,0.7608041759643297,1.0,-0.07921597498458802,0.0014618581950683336,-0.03816604248519033,0.07126949612959724
Curricular units 2nd sem (without evaluations),0.02042558893626269,0.0479828915852015,-0.015757360878024526,0.030816488032590336,-0.004228658196806576,0.0051022699611429235,-0.030087088153878797,-0.01901455423304376,-0.014040609648219534,-0.003601168904565711,0.021305469782989684,0.02651445711416492,-0.007430358497424674,0.014220101942433085,0.013090880842450544,0.04213250616299138,-0.0076638907817136006,-0.018009018406522834,-0.013254364635768625,-0.03595871889579625,-0.007490587766725652,0.048552439308020875,-0.0718170124603157,0.057222668835985396,-0.048723293065955575,0.0616538593501903,-0.010660417429581154,0.05525634120017356,0.06954735323090139,0.1342959130612809,-0.05398299584633254,-0.06607617624759954,0.5832610728532449,0.07014834324370788,0.067697475948765,0.14487739683594514,-0.06156671384674661,-0.07921597498458802,1.0,-0.013960235497209973,-0.034391199252807744,-0.0802923530962508
Unemployment rate,-0.020337568196093912,0.08908007982496839,-0.09841916664377497,0.007153477096402814,0.06197432356687531,0.11195809085741577,-0.0560329116080745,0.04522226843669443,-0.000650509601161755,-0.009737975141425853,-0.11435116877222165,-0.12763403131437007,-0.07790513515154741,-0.10390335955326038,-0.09205731154320006,-0.11596773444490031,-0.1012145345383544,-0.08572202870227974,0.038755686948737274,-0.1303267932436151,0.04613109651092124,0.021128058674874318,0.013460392079303505,0.022195416351860373,0.055152060598725926,0.025017758300938206,-0.010014693411469341,0.009778397068702364,0.038403669409056235,0.06154453761386935,0.05128646323966933,0.014820945247553508,-0.04514428362256674,0.010580281224292809,0.06443648009568792,0.0458078898299654,0.048805041309296755,0.0014618581950683336,-0.013960235497209973,1.0,-0.02888466260699196,-0.3351781190260046
Inflation rate,0.008761345227354663,-0.016374634645172408,-0.011133212005957563,0.01771012897974121,-0.02404330775396638,-0.06373591485749655,0.0071420846632675615,0.0187103760100449,-0.00892172823025612,-0.015773159705141076,0.059440692562104006,0.0723534157231225,0.05763309393473609,0.0662492196755324,0.02400336547227412,0.08688707893336371,0.03054972995888103,0.07321433454888761,-0.021623575582657397,-0.012384975352716803,0.004396470733173414,-0.021888172449337842,-0.0007063886206365202,0.0035564171725249835,-0.031103909387470974,0.02537703647241084,-0.009642165409182276,0.023348295336197457,0.03675802639560093,-0.006603820239527599,-0.0071138154828429435,-0.03390356736507015,-0.052534250737915865,0.014489914727051094,0.01684415276008763,-0.012642500035323485,-0.024566251903387692,-0.03816604248519033,-0.034391199252807744,-0.02888466260699196,1.0,-0.11229464204696343
GDP,-0.02700340540765251,-0.022742716589706585,0.030200823981583837,-0.0202646131499894,0.02292919944105355,0.0640693505515313,-0.011700405115765077,-0.05262040370010443,0.034478006009970405,0.028108421643334824,-0.08365650750504817,-0.08804341040156356,-0.0716101473842474,-0.06448230913290408,0.12426817474836449,-0.027400781320752868,0.1317667488355332,0.0002643500024101085,-0.019519481896555762,0.06287471933763164,0.012016080371812751,0.07504989585797912,-0.0027679395506693787,-0.00810763976667546,0.03565041879610047,-0.06467811172086704,0.044389485688965905,-0.026513179948448755,-0.026262072764580636,-0.09976129193677881,0.018458670873930674,0.05480076361937073,-0.14467320144350837,-0.0244911120424026,-0.007592443428285163,-0.004853562042810185,0.02242745143064256,0.07126949612959724,-0.0802923530962508,-0.3351781190260046,-0.11229464204696343,1.0
